ID_рейса,Дата,Регион_отправления,Регион_назначения,Тип_груза,Вид_транспорта,Перевозчик,Вес_тонн,Расстояние_км,Стоимость_тенге
HYR-20250001,2025-03-26 16:38,Порт Актау,Астана (Логистический хаб),Модули электролизеров (Водород),Автотранспорт (Трал),KazMano-Trans LLC,35.89,2079,2375900.0
HYR-20250002,2025-04-02 14:52,ВИЭ-Кластер Рахым (Мангистау),Порт Баку (Азербайджан),Спецтехника и металлоконструкции,Автотранспорт (Трал),Svevind Global Transport,49.51,656,1453200.0
HYR-20250003,2025-09-12 01:18,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Рахым (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),SilkWay Heavy Haulage,46.67,436,993600.0
HYR-20250004,2025-06-29 23:38,Порт Баку (Азербайджан),ВИЭ-Кластер Рахым (Мангистау),Спецтехника и металлоконструкции,Ж/Д транспорт,KazMano-Trans LLC,22.09,676,659200.0
HYR-20250005,2025-03-18 13:48,Астана (Логистический хаб),Жанаозен,Модули электролизеров (Водород),Автотранспорт (Трал),Mangystau Cargo Express,38.59,1956,2286700.0
HYR-20250006,2025-02-08 02:46,Порт Актау,Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Трал),Caspian Sea Logistics,41.13,1858,2695900.0
HYR-20250007,2025-04-06 08:57,Порт Роттердам (Нидерланды),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Svevind Global Transport,26.11,4328,6110400.0
HYR-20250008,2025-12-29 02:30,Порт Актау,Атырау (Нефтемаш),Оборудование опреснения воды,Ж/Д транспорт,Caspian Sea Logistics,45.25,298,1005000.0
HYR-20250009,2025-03-02 18:18,Промзона Курык (Hyrasia HQ),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,52.44,1902,4709000.0
HYR-20250010,2025-05-02 16:03,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,KazMano-Trans LLC,26.85,215,268500.0
HYR-20250011,2025-05-13 20:55,Промзона Курык (Hyrasia HQ),Астана (Логистический хаб),Модули электролизеров (Водород),Ж/Д транспорт,Kuryk Port Logistics,5.89,1781,348200.0
HYR-20250012,2025-07-13 04:07,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Зеленый аммиак (ЖД цистерны),Морской фрахт,Mangystau Cargo Express,25.96,64,50000.0
HYR-20250013,2025-01-29 12:50,Порт Актау,Астана (Логистический хаб),Солнечные панели и инверторы,Морской фрахт,KazMano-Trans LLC,12.01,1717,845800.0
HYR-20250014,2025-08-17 17:25,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Рахым (Мангистау),Спецтехника и металлоконструкции,Морской фрахт,Kuryk Port Logistics,14.34,323,190400.0
HYR-20250015,2025-02-15 00:20,ВИЭ-Кластер Абай (Мангистау),Порт Роттердам (Нидерланды),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Caspian Sea Logistics,26.96,4271,5791300.0
HYR-20250016,2025-08-12 12:39,Порт Актау,Жанаозен,Оборудование опреснения воды,Морской фрахт,Caspian Sea Logistics,17.46,414,249700.0
HYR-20250017,2025-08-16 03:09,Астана (Логистический хаб),Порт Актау,Зеленый аммиак (ЖД цистерны),Морской фрахт,Mangystau Cargo Express,61.09,1815,4088900.0
HYR-20250018,2025-05-19 05:21,ВИЭ-Кластер Абай (Мангистау),Порт Баку (Азербайджан),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,44.17,548,773500.0
HYR-20250019,2025-03-13 18:35,Порт Баку (Азербайджан),ВИЭ-Кластер Абай (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Kuryk Port Logistics,36.1,725,1046800.0
HYR-20250020,2025-06-13 17:56,Астана (Логистический хаб),Промзона Курык (Hyrasia HQ),Оборудование опреснения воды,Ж/Д транспорт,Mangystau Cargo Express,5.58,1720,349400.0
HYR-20250021,2025-05-29 17:36,Порт Роттердам (Нидерланды),Астана (Логистический хаб),Модули электролизеров (Водород),Автотранспорт (Трал),KazMano-Trans LLC,11.22,4496,1844900.0
HYR-20250022,2025-05-09 07:39,Атырау (Нефтемаш),Порт Баку (Азербайджан),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Svevind Global Transport,52.31,493,937500.0
HYR-20250023,2025-08-30 06:49,Порт Актау,Атырау (Нефтемаш),Оборудование опреснения воды,Морской фрахт,KazMano-Trans LLC,28.38,187,294200.0
HYR-20250024,2025-10-20 23:49,Атырау (Нефтемаш),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Caspian Sea Logistics,7.73,165,48500.0
HYR-20250025,2025-06-29 17:15,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Спецтехника и металлоконструкции,Ж/Д транспорт,KazMano-Trans LLC,54.53,263,622700.0
HYR-20250026,2025-12-04 15:52,Астана (Логистический хаб),Порт Актау,Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,23.16,2332,2211300.0
HYR-20250027,2025-12-14 08:26,Порт Роттердам (Нидерланды),ВИЭ-Кластер Рахым (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),KazMano-Trans LLC,28.18,4139,3684100.0
HYR-20250028,2025-04-19 20:10,ВИЭ-Кластер Рахым (Мангистау),ВИЭ-Кластер Абай (Мангистау),Модули электролизеров (Водород),Морской фрахт,KazMano-Trans LLC,63.46,326,840900.0
HYR-20250029,2025-09-25 03:21,ВИЭ-Кластер Рахым (Мангистау),Атырау (Нефтемаш),Оборудование опреснения воды,Автотранспорт (Трал),Kuryk Port Logistics,5.93,395,119800.0
HYR-20250030,2025-04-14 19:43,ВИЭ-Кластер Абай (Мангистау),Атырау (Нефтемаш),Модули электролизеров (Водород),Автотранспорт (Трал),SilkWay Heavy Haulage,48.28,192,301400.0
HYR-20250031,2025-11-11 03:26,Промзона Курык (Hyrasia HQ),Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Ж/Д транспорт,Caspian Sea Logistics,61.93,3824,12695700.0
HYR-20250032,2025-02-15 15:25,Промзона Курык (Hyrasia HQ),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,8.83,239,79600.0
HYR-20250033,2025-04-01 06:21,ВИЭ-Кластер Рахым (Мангистау),Атырау (Нефтемаш),Спецтехника и металлоконструкции,Ж/Д транспорт,KazMano-Trans LLC,56.96,312,539600.0
HYR-20250034,2025-02-28 18:54,Астана (Логистический хаб),Промзона Курык (Hyrasia HQ),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Svevind Global Transport,29.97,1847,2011000.0
HYR-20250035,2025-08-10 13:10,Порт Роттердам (Нидерланды),Атырау (Нефтемаш),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),Kuryk Port Logistics,57.68,4312,7894600.0
HYR-20250036,2025-08-17 10:27,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Морской фрахт,Kuryk Port Logistics,23.5,406,421300.0
HYR-20250037,2025-07-09 22:58,Астана (Логистический хаб),Порт Роттердам (Нидерланды),Спецтехника и металлоконструкции,Автотранспорт (Трал),Mangystau Cargo Express,63.96,3720,9019500.0
HYR-20250038,2025-08-19 00:36,Промзона Курык (Hyrasia HQ),Порт Актау,Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Svevind Global Transport,43.82,267,587000.0
HYR-20250039,2025-12-06 22:12,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Оборудование опреснения воды,Морской фрахт,KazMano-Trans LLC,42.63,2005,4129700.0
HYR-20250040,2025-06-28 08:40,Атырау (Нефтемаш),Порт Актау,Оборудование опреснения воды,Ж/Д транспорт,Svevind Global Transport,53.35,218,681800.0
HYR-20250041,2025-11-25 15:34,Жанаозен,Атырау (Нефтемаш),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,31.2,415,741600.0
HYR-20250042,2025-08-31 16:17,Порт Баку (Азербайджан),Астана (Логистический хаб),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,20.52,497,461200.0
HYR-20250043,2025-07-08 03:36,ВИЭ-Кластер Абай (Мангистау),Атырау (Нефтемаш),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Svevind Global Transport,20.78,155,118400.0
HYR-20250044,2025-06-16 14:51,Промзона Курык (Hyrasia HQ),Атырау (Нефтемаш),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Svevind Global Transport,24.84,162,134700.0
HYR-20250045,2025-06-16 09:49,Астана (Логистический хаб),Порт Баку (Азербайджан),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Mangystau Cargo Express,42.04,684,1133300.0
HYR-20250046,2025-05-23 09:21,Атырау (Нефтемаш),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,55.3,445,796600.0
HYR-20250047,2025-10-17 15:53,Порт Баку (Азербайджан),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Автотранспорт (Трал),Mangystau Cargo Express,34.97,594,786700.0
HYR-20250048,2025-02-17 07:48,Порт Баку (Азербайджан),Порт Актау,Спецтехника и металлоконструкции,Морской фрахт,Kuryk Port Logistics,29.21,639,1285200.0
HYR-20250049,2025-06-24 23:55,ВИЭ-Кластер Абай (Мангистау),Промзона Курык (Hyrasia HQ),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,52.63,254,581500.0
HYR-20250050,2025-06-28 03:08,Порт Баку (Азербайджан),Астана (Логистический хаб),Спецтехника и металлоконструкции,Автотранспорт (Трал),SilkWay Heavy Haulage,22.38,402,297000.0
HYR-20250051,2025-03-15 23:30,Атырау (Нефтемаш),Порт Баку (Азербайджан),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),KazMano-Trans LLC,46.34,647,905700.0
